id,initial,city,name,culture,team_id,game_id,first_downs_number,first_downs_rushing,first_downs_passing,first_downs_penalty,game_totals_plays,game_totals_yards,game_totals_average,rushing_attempts,rushing_yards,rushing_average,passing_completions,passing_attempts,passing_interception,passing_yards,passing_average,passing_sacked,punting_punts,punting_yards,punting_average,punting_singles,return_totals_yards,punt_returns_attempts,punt_returns_yards,kick_returns_attempts,kick_returns_yards,interception_returns_attempts,interception_returns_yards,defense_tackles,defense_assists,defense_sacks,defense_sack_yards,defense_passes_defensed,defense_forced_fumbles,defense_fumble_recoveries,special_teams_tackles,penalties_number,penalties_yards,fumbles_number,fumbles_lost,possession_time,field_goals_made,field_goals_attempts,field_goals_blocked,field_goals_percent,field_goals_singles,kickoffs_number,kickoffs_end_zone,kickoffs_touchbacks,kickoffs_singles,id,game_num,week_num,game_date,date_tbd,time_tbd,game_status,away_team,home_team,away_coach,home_coach,mvp,stadium_id,attendance,away_score,away_score1,away_score2,away_score3,away_score4,away_scoreOT,home_score,home_score1,home_score2,home_score3,home_score4,home_scoreOT,sold_out,is_visible,stats_inc_id,period_value,period_time_remaining,last_update,name,location,id,culture,loc,score,win
1,bc,BC,Lions,en,1,10633,16,4,10,2,54,291,5.4,14,67,4,20,36,0,224,6.2,4,12,513,42.8,0,131,6,55,4,76,0,0,45,0,2,7,7,0,2,11,9,83,0,0,00:26:14,3,3,0,100,0,3,0,0,1,10633,56,17,"2013-09-22 16:30:00",0,0,Final,1,4,,,,4,39373,24,3,3,15,3,NULL,22,0,9,3,10,NULL,0,1,1315143,4,NULL,"2013-09-22 19:46:00","Mosaic Stadium",Saskatchewan,4,en,A,24,1
1,bc,BC,Lions,en,1,10645,21,11,9,1,60,391,6.5,23,155,6,22,34,0,236,6.9,3,3,134,44.7,0,148,3,6,6,110,0,0,41,0,2,15,1,1,2,4,13,126,3,2,00:30:45,4,4,0,100,0,4,0,0,0,10645,28,9,"2013-07-30 19:30:00",0,0,Final,1,7,,,,6,20064,12,3,3,6,0,NULL,38,0,14,7,17,NULL,0,1,1315199,4,NULL,"2013-07-30 22:58:48","Rogers Centre",Toronto,6,en,A,12,0
1,bc,BC,Lions,en,1,10653,21,2,17,2,58,337,5.8,15,69,4,28,39,0,268,6.9,4,8,298,37.3,0,116,6,34,4,82,1,17,39,0,2,15,3,1,1,10,8,87,2,2,00:32:22,1,3,0,33,1,5,0,0,0,10653,30,10,"2013-08-05 19:00:00",0,0,Final,5,1,,,,1,26856,20,8,8,1,3,NULL,27,3,14,0,10,NULL,0,1,1315201,4,NULL,"2013-08-20 09:49:12","B.C. Place",Vancouver,1,en,H,27,1
1,bc,BC,Lions,en,1,10655,21,5,13,3,57,366,6.4,14,80,5,19,38,0,286,7.5,5,7,301,43,0,118,6,48,3,58,0,0,39,0,2,18,1,0,0,12,13,138,0,0,00:32:21,1,2,0,50,0,5,0,0,0,10655,62,19,"2013-10-04 22:00:00",0,0,Final,4,1,,,,1,37312,31,0,16,9,6,NULL,17,3,0,7,7,NULL,0,1,1315149,4,NULL,"2013-10-05 13:12:10","B.C. Place",Vancouver,1,en,H,17,0
1,bc,BC,Lions,en,1,10669,19,5,12,2,57,357,6.3,17,56,3,23,39,0,301,7.7,1,10,386,38.6,1,211,3,17,7,173,1,33,42,0,2,13,7,0,1,10,7,55,1,0,00:25:34,1,1,0,100,0,5,0,0,0,10669,65,20,"2013-10-11 21:00:00",0,0,Final,1,2,,,,3,26115,26,0,11,7,8,NULL,40,13,6,7,14,NULL,0,1,1315152,4,NULL,"2013-10-12 00:12:56","McMahon Stadium",Calgary,3,en,A,26,0
1,bc,BC,Lions,en,1,10671,15,5,9,1,47,302,6.4,18,79,4,16,28,0,223,8,1,9,376,41.8,0,212,9,72,4,140,0,0,44,0,1,3,0,2,1,12,7,91,1,1,00:25:59,1,1,0,100,0,6,0,0,0,10671,35,12,"2013-08-17 21:00:00",0,0,Final,2,1,,,,1,29201,22,7,9,3,3,NULL,26,14,7,0,5,NULL,0,1,1315206,4,NULL,"2013-08-18 00:43:50","B.C. Place",Vancouver,1,en,H,26,1
1,bc,BC,Lions,en,1,10679,14,1,9,4,51,272,5.3,17,54,3,16,29,0,218,7.5,5,9,367,40.8,0,335,3,40,8,170,5,38,36,0,4,19,3,2,4,10,7,55,2,0,00:28:44,5,5,0,100,0,5,0,0,0,10679,37,13,"2013-08-22 19:30:00",0,0,Final,1,9,,,,9,22465,38,12,9,7,10,NULL,39,0,7,17,15,NULL,0,1,1315208,4,NULL,"2013-08-23 00:26:51","Percival Molson Stadium",Montreal,9,en,A,38,0
1,bc,BC,Lions,en,1,10693,13,4,7,2,48,240,5,17,93,5,13,30,0,147,4.9,1,9,321,35.7,0,203,7,30,7,173,1,8,46,0,1,3,2,2,4,6,9,70,5,3,00:24:45,0,0,0,0,0,2,0,0,0,10693,71,21,"2013-10-19 19:00:00",0,0,Final,1,4,,,,4,34956,14,7,0,7,0,NULL,35,10,21,0,4,NULL,0,1,1315158,4,NULL,"2013-10-19 22:08:17","Mosaic Stadium",Saskatchewan,4,en,A,14,0
1,bc,BC,Lions,en,1,10699,21,10,9,2,51,421,8.3,26,220,8,15,22,0,201,9.1,3,9,382,42.4,1,167,6,62,6,105,2,15,35,0,4,23,6,1,0,13,6,30,0,0,00:29:18,0,0,0,0,0,8,0,0,0,10699,74,22,"2013-10-25 22:00:00",0,0,Final,3,1,,,,1,24545,29,10,5,0,14,NULL,43,1,14,14,14,NULL,0,1,1315161,4,NULL,"2013-10-26 09:28:51","B.C. Place",Vancouver,1,en,H,43,1
1,bc,BC,Lions,en,1,10707,24,12,10,2,59,370,6.3,32,179,5,12,25,0,191,7.6,2,7,265,37.9,0,169,11,103,3,66,0,0,30,0,2,16,5,0,0,9,0,0,0,0,00:33:15,4,4,0,100,0,4,0,0,0,10707,78,23,"2013-11-01 22:00:00",0,0,Final,2,1,,,,1,27228,7,4,0,3,0,NULL,26,7,10,0,9,NULL,0,1,1315165,4,NULL,"2013-11-02 01:14:29","B.C. Place",Vancouver,1,en,H,26,1
