game_id,play_id,player1_id,tackle1_id
22861,10545,3653.0,5211.0
22862,10545,4747.0,6241.0
22863,10545,4747.0,5601.0
22864,10545,5213.0,5041.0
22865,10545,5213.0,5041.0
22866,10545,4555.0,6357.0
22867,10545,4555.0,6241.0
22868,10545,5213.0,5729.0
22869,10545,5373.0,5945.0
22870,10545,5213.0,nan
22871,10545,5943.0,2855.0
22872,10545,4555.0,5859.0
22873,10545,4555.0,6101.0
22874,10545,4555.0,6241.0
22875,10545,5943.0,5183.0
22876,10545,5373.0,6111.0
22877,10545,4555.0,6357.0
22878,10545,5943.0,4115.0
22879,10545,6137.0,5921.0
22880,10545,6137.0,nan
22881,10545,6137.0,nan
22882,10545,349.0,5355.0
22883,10545,349.0,5921.0
22884,10545,5445.0,5941.0
22885,10545,3709.0,6101.0
22886,10545,5367.0,5925.0
22887,10545,5943.0,5183.0
22888,10545,5943.0,5183.0
22889,10545,6137.0,nan
22890,10545,5885.0,4083.0
22891,10545,5947.0,6351.0
22892,10545,5885.0,5707.0
22893,10545,5947.0,5921.0
22894,10545,5947.0,5891.0
22895,10545,5725.0,6351.0
22896,10545,1223.0,1391.0
22897,10545,1223.0,2613.0
22898,10545,1223.0,6241.0
22899,10545,1223.0,6125.0
22900,10545,1223.0,6111.0
22901,10545,5725.0,6237.0
22902,10545,5947.0,5921.0
22903,10545,5947.0,5107.0
22904,10545,5947.0,1899.0
22905,10545,5947.0,5609.0
22906,10547,5491.0,4833.0
22907,10547,5491.0,nan
22908,10547,5377.0,5401.0
22909,10547,5491.0,4833.0
22910,10547,5377.0,5539.0
22911,10547,5873.0,4153.0
22912,10547,5491.0,5095.0
22913,10547,5377.0,5099.0
22914,10547,5377.0,5545.0
22915,10547,4869.0,2929.0
22916,10547,5783.0,5615.0
22917,10547,1551.0,5905.0
22918,10547,5873.0,5857.0
22919,10547,5869.0,5615.0
22920,10547,5869.0,5127.0
22921,10547,6217.0,6117.0
22922,10547,2921.0,4999.0
22923,10547,4857.0,nan
22924,10547,4857.0,nan
22925,10547,6217.0,5545.0
22926,10547,2921.0,5487.0
22927,10547,2921.0,5873.0
22928,10547,2921.0,6169.0
22929,10547,2921.0,nan
22930,10547,6217.0,5831.0
22931,10549,3437.0,1057.0
22932,10549,3437.0,5381.0
22933,10549,3589.0,4761.0
22934,10549,5195.0,1057.0
22935,10549,5873.0,4453.0
22936,10549,3437.0,1057.0
22937,10549,3437.0,3461.0
22938,10549,5873.0,3067.0
22939,10549,3437.0,5307.0
22940,10549,3811.0,4311.0
22941,10549,3437.0,4761.0
22942,10549,91.0,667.0
22943,10549,1799.0,1057.0
22944,10549,5873.0,931.0
22945,10549,5377.0,1747.0
22946,10549,5377.0,nan
22947,10549,3437.0,3739.0
22948,10549,5195.0,4761.0
22949,10549,3811.0,5381.0
22950,10549,3437.0,5307.0
22951,10549,5873.0,3067.0
22952,10549,3589.0,4761.0
22953,10549,3811.0,nan
22954,10549,5873.0,3541.0
22955,10549,5377.0,2121.0
22956,10551,5701.0,2177.0
22957,10551,3675.0,6337.0
22958,10551,6075.0,5375.0
22959,10551,4777.0,5719.0
22960,10551,4777.0,4503.0
22961,10551,4777.0,4085.0
22962,10551,4777.0,3145.0
22963,10551,3675.0,nan
22964,10551,4777.0,3405.0
22965,10551,1543.0,3405.0
22966,10551,1543.0,5625.0
22967,10551,6075.0,nan
22968,10551,6075.0,2505.0
22969,10551,4777.0,5719.0
22970,10551,4773.0,4683.0
22971,10551,1543.0,nan
22972,10551,4777.0,5501.0
22973,10551,3881.0,4957.0
22974,10551,4777.0,4503.0
22975,10551,4777.0,5501.0
22976,10551,5617.0,5625.0
22977,10551,6153.0,5929.0
22978,10551,5689.0,4599.0
22979,10551,5617.0,6331.0
22980,10551,5617.0,3339.0
22981,10551,5927.0,4301.0
22982,10551,5967.0,5929.0
22983,10551,6153.0,1249.0
22984,10551,5689.0,nan
22985,10551,5927.0,4997.0
22986,10551,5617.0,4997.0
22987,10551,4811.0,5839.0
22988,10551,5617.0,5839.0
22989,10551,6121.0,nan
22990,10551,6153.0,5811.0
22991,10551,6263.0,nan
22992,10551,6263.0,5839.0
22993,10551,6263.0,5839.0
22994,10551,6121.0,5929.0
22995,10553,4747.0,3449.0
22996,10553,4777.0,5945.0
22997,10553,6413.0,3449.0
22998,10553,3709.0,4609.0
22999,10553,4777.0,4269.0
23000,10553,4747.0,2177.0
23001,10553,4747.0,2919.0
23002,10553,3709.0,2953.0
23003,10553,1543.0,3557.0
23004,10553,4777.0,nan
23005,10553,4747.0,2505.0
23006,10553,4747.0,2177.0
23007,10553,3855.0,nan
23008,10553,1543.0,4269.0
23009,10553,4795.0,5045.0
23010,10553,4777.0,4269.0
23011,10553,4777.0,4115.0
23012,10553,4747.0,3355.0
23013,10553,3709.0,nan
23014,10553,1543.0,nan
23015,10553,4747.0,3355.0
23016,10553,4777.0,4115.0
23017,10553,4777.0,nan
23018,10553,4777.0,5039.0
23019,10553,4777.0,5945.0
23020,10553,4747.0,2953.0
23021,10553,3855.0,2919.0
23022,10553,4777.0,6235.0
23023,10553,4795.0,5045.0
23024,10553,4777.0,5045.0
23025,10553,4795.0,4269.0
23026,10553,3709.0,nan
23027,10553,4777.0,5729.0
23028,10553,4747.0,2919.0
23029,10553,4777.0,4053.0
23030,10553,4777.0,3175.0
23031,10553,4777.0,4269.0
23032,10553,4777.0,5729.0
23033,10553,4777.0,5355.0
23034,10553,1223.0,2505.0
23035,10553,3709.0,3355.0
23036,10553,4777.0,4259.0
23037,10553,4777.0,4269.0
23038,10555,1255.0,6149.0
23039,10555,6359.0,3007.0
23040,10555,5195.0,2993.0
23041,10555,6359.0,nan
23042,10555,3811.0,1969.0
23043,10555,1255.0,4511.0
23044,10555,3879.0,4203.0
23045,10555,4063.0,3007.0
23046,10555,6359.0,4205.0
23047,10555,4409.0,5033.0
23048,10555,nan,nan
23049,10555,4409.0,5223.0
23050,10555,nan,5159.0
23051,10555,5195.0,4803.0
23052,10555,6253.0,1501.0
23053,10555,4087.0,5223.0
23054,10555,4087.0,5223.0
23055,10555,5083.0,1747.0
23056,10555,4409.0,nan
23057,10555,nan,nan
23058,10555,4087.0,6363.0
23059,10555,5933.0,5159.0
23060,10555,5933.0,5159.0
23061,10555,4087.0,5223.0
23062,10555,6359.0,5799.0
23063,10555,5933.0,4047.0
23064,10555,4409.0,1799.0
