team_id,team_name,interception_returns_attempts,interception_returns_yards,defense_tackles,defense_sacks,defense_sack_yards,defense_passes_defensed,defense_forced_fumbles,defense_fumble_recoveries,special_teams_tackles
2,Calgary Stampeders,0,0,41,4,25,0,2,2,6
2,Calgary Stampeders,1,0,34,2,13,4,1,2,4
2,Calgary Stampeders,5,5,42,2,9,6,0,0,12
2,Calgary Stampeders,0,0,34,3,19,3,1,1,11
2,Calgary Stampeders,1,6,35,3,13,5,1,2,6
2,Calgary Stampeders,0,0,34,4,11,3,3,4,10
2,Calgary Stampeders,1,5,30,1,7,5,0,0,8
2,Calgary Stampeders,1,65,35,1,1,3,1,1,9
2,Calgary Stampeders,3,6,32,1,6,3,1,2,12
2,Calgary Stampeders,2,2,34,4,19,4,2,2,9
2,Calgary Stampeders,1,7,41,5,32,2,0,2,5
2,Calgary Stampeders,1,0,42,7,44,1,1,2,8
2,Calgary Stampeders,1,0,44,2,4,1,0,0,13
2,Calgary Stampeders,1,8,43,4,32,2,0,0,7
2,Calgary Stampeders,1,1,34,4,39,3,0,0,6
2,Calgary Stampeders,0,0,51,3,8,3,2,1,11
2,Calgary Stampeders,1,0,41,3,20,0,2,1,8
2,Calgary Stampeders,1,10,35,3,20,3,1,2,12
2,Calgary Stampeders,1,63,43,1,1,2,0,0,11
2,Calgary Stampeders,2,51,34,4,23,2,0,0,5
2,Calgary Stampeders,2,19,49,4,10,3,1,1,10
2,Calgary Stampeders,1,11,33,3,37,3,1,0,11
2,Calgary Stampeders,0,0,36,3,12,1,2,0,7
2,Calgary Stampeders,0,0,37,2,17,4,1,1,14
2,Calgary Stampeders,1,1,48,2,17,1,2,2,7
2,Calgary Stampeders,0,0,53,1,6,2,0,0,10
2,Calgary Stampeders,2,55,41,2,11,1,0,0,10
2,Calgary Stampeders,3,91,43,4,13,0,1,0,9
2,Calgary Stampeders,0,0,38,2,10,1,1,1,9
2,Calgary Stampeders,3,72,31,3,20,3,1,0,10
2,Calgary Stampeders,0,0,46,1,8,2,2,1,7
2,Calgary Stampeders,2,43,47,5,31,1,2,0,8
2,Calgary Stampeders,1,15,40,1,8,10,1,1,14
2,Calgary Stampeders,0,0,44,3,18,1,1,0,8
2,Calgary Stampeders,1,98,44,3,20,4,0,0,5
2,Calgary Stampeders,0,0,50,0,0,1,0,0,7
2,Calgary Stampeders,1,10,30,1,2,3,1,1,9
2,Calgary Stampeders,1,0,37,2,11,1,2,3,9
2,Calgary Stampeders,0,0,41,4,20,2,1,0,6
3,Edmonton Eskimos,0,0,52,3,17,0,2,4,11
3,Edmonton Eskimos,0,0,39,4,30,2,3,3,12
3,Edmonton Eskimos,1,27,44,4,33,0,2,1,8
3,Edmonton Eskimos,2,31,40,3,13,2,0,0,11
3,Edmonton Eskimos,2,31,43,4,25,2,1,2,10
3,Edmonton Eskimos,2,58,34,3,43,2,2,2,9
3,Edmonton Eskimos,0,0,40,1,12,1,1,1,9
3,Edmonton Eskimos,2,4,34,4,39,4,1,3,12
3,Edmonton Eskimos,0,0,43,2,13,3,1,2,9
3,Edmonton Eskimos,1,1,43,1,8,1,0,0,8
3,Edmonton Eskimos,0,0,46,2,13,1,3,2,8
3,Edmonton Eskimos,1,0,39,6,42,3,1,0,10
3,Edmonton Eskimos,1,0,51,4,27,1,0,2,10
3,Edmonton Eskimos,2,50,42,1,5,4,0,0,9
3,Edmonton Eskimos,2,19,48,3,27,2,0,2,7
3,Edmonton Eskimos,0,0,42,2,5,0,2,0,8
3,Edmonton Eskimos,0,0,55,2,17,1,1,1,8
3,Edmonton Eskimos,0,0,42,1,16,0,1,0,8
3,Edmonton Eskimos,0,0,39,3,17,5,0,1,11
3,Edmonton Eskimos,1,56,59,2,11,2,0,1,7
3,Edmonton Eskimos,2,18,40,4,24,3,0,0,11
3,Edmonton Eskimos,4,23,36,4,22,2,1,1,11
3,Edmonton Eskimos,3,34,36,4,20,4,2,3,8
3,Edmonton Eskimos,1,12,31,5,20,2,0,0,9
3,Edmonton Eskimos,1,17,34,5,32,2,1,1,7
3,Edmonton Eskimos,0,0,37,1,2,8,0,0,12
3,Edmonton Eskimos,1,22,40,4,21,4,1,0,11
3,Edmonton Eskimos,0,0,34,1,8,3,2,1,4
3,Edmonton Eskimos,3,67,45,5,35,3,2,2,13
3,Edmonton Eskimos,0,0,44,1,5,4,0,1,7
3,Edmonton Eskimos,0,0,37,2,11,2,0,0,9
3,Edmonton Eskimos,0,0,30,1,2,6,0,0,7
3,Edmonton Eskimos,1,3,46,6,43,2,2,1,7
3,Edmonton Eskimos,2,9,32,6,41,5,1,0,10
3,Edmonton Eskimos,1,27,42,1,6,2,1,1,10
3,Edmonton Eskimos,1,15,35,4,29,5,2,2,7
3,Edmonton Eskimos,2,47,34,0,0,6,0,0,8
3,Edmonton Eskimos,0,0,29,3,23,2,1,1,9
3,Edmonton Eskimos,0,0,36,2,15,4,1,1,8
3,Edmonton Eskimos,0,0,34,3,16,2,0,0,9
3,Edmonton Eskimos,5,65,31,7,38,0,1,0,8
3,Edmonton Eskimos,1,4,39,8,59,1,3,0,10
3,Edmonton Eskimos,0,0,43,4,18,1,1,2,6
3,Edmonton Eskimos,2,57,36,2,9,8,1,0,10
3,Edmonton Eskimos,1,0,47,2,16,2,3,2,3
3,Edmonton Eskimos,2,28,37,4,18,1,0,0,10
4,Saskatchewan Roughriders,4,134,34,5,30,1,1,2,14
4,Saskatchewan Roughriders,2,53,36,2,10,3,1,1,13
4,Saskatchewan Roughriders,1,8,35,7,42,2,3,2,6
4,Saskatchewan Roughriders,0,0,41,2,23,3,0,3,9
4,Saskatchewan Roughriders,1,28,33,3,22,2,2,4,9
4,Saskatchewan Roughriders,3,98,38,3,15,3,2,3,11
4,Saskatchewan Roughriders,1,0,35,2,6,2,0,0,5
4,Saskatchewan Roughriders,0,0,46,5,28,3,0,1,6
4,Saskatchewan Roughriders,0,0,39,0,0,2,1,2,8
4,Saskatchewan Roughriders,0,0,35,4,30,5,0,0,8
4,Saskatchewan Roughriders,1,0,29,5,34,2,1,1,8
4,Saskatchewan Roughriders,0,0,39,7,58,2,2,4,12
4,Saskatchewan Roughriders,3,53,34,5,27,1,0,0,10
4,Saskatchewan Roughriders,0,0,44,1,9,3,1,1,10
4,Saskatchewan Roughriders,2,0,34,0,0,5,2,2,10
4,Saskatchewan Roughriders,2,31,41,3,8,3,0,1,9
4,Saskatchewan Roughriders,2,19,36,3,27,1,1,2,7
4,Saskatchewan Roughriders,4,37,31,1,10,3,3,4,14
4,Saskatchewan Roughriders,1,0,45,3,33,6,3,4,11
4,Saskatchewan Roughriders,1,22,25,3,16,4,1,0,10
4,Saskatchewan Roughriders,0,0,44,1,1,1,1,2,6
4,Saskatchewan Roughriders,1,0,28,3,23,3,1,4,14
4,Saskatchewan Roughriders,2,3,38,2,16,1,1,0,12
4,Saskatchewan Roughriders,1,12,37,10,51,2,1,2,6
4,Saskatchewan Roughriders,0,0,45,2,9,2,1,1,8
4,Saskatchewan Roughriders,0,0,48,2,17,1,0,0,9
4,Saskatchewan Roughriders,2,51,49,4,36,2,3,3,9
4,Saskatchewan Roughriders,2,5,40,3,11,3,0,0,8
4,Saskatchewan Roughriders,3,83,38,5,45,1,2,2,11
4,Saskatchewan Roughriders,1,8,40,3,22,2,2,2,6
4,Saskatchewan Roughriders,0,0,33,3,15,2,0,0,12
4,Saskatchewan Roughriders,1,23,38,4,19,1,2,1,9
4,Saskatchewan Roughriders,2,22,43,5,32,3,0,1,11
4,Saskatchewan Roughriders,1,0,48,3,27,4,0,0,11
4,Saskatchewan Roughriders,1,18,41,6,47,1,1,1,11
4,Saskatchewan Roughriders,0,0,42,2,8,2,0,0,10
4,Saskatchewan Roughriders,1,0,41,1,8,4,0,0,8
4,Saskatchewan Roughriders,0,0,42,2,12,3,1,1,6
4,Saskatchewan Roughriders,1,26,42,3,12,0,0,1,8
4,Saskatchewan Roughriders,1,15,39,3,22,1,0,0,10
4,Saskatchewan Roughriders,2,23,49,0,0,4,1,2,8
4,Saskatchewan Roughriders,1,0,49,3,28,3,0,0,9
4,Saskatchewan Roughriders,0,0,34,2,12,1,0,1,7
4,Saskatchewan Roughriders,0,0,44,1,11,0,0,0,7
4,Saskatchewan Roughriders,1,0,44,4,17,2,0,0,3
4,Saskatchewan Roughriders,0,0,45,0,0,1,0,0,11
4,Saskatchewan Roughriders,0,0,28,0,0,2,2,0,4
4,Saskatchewan Roughriders,0,0,41,1,2,3,0,0,8
5,Winnipeg Blue Bombers,0,0,55,3,18,1,0,1,7
5,Winnipeg Blue Bombers,1,20,46,1,7,0,0,1,8
5,Winnipeg Blue Bombers,0,0,35,3,15,3,1,2,8
5,Winnipeg Blue Bombers,1,2,44,8,69,3,1,3,12
5,Winnipeg Blue Bombers,0,0,39,3,9,1,0,0,5
5,Winnipeg Blue Bombers,1,46,46,4,30,2,0,0,10
5,Winnipeg Blue Bombers,0,0,46,4,35,4,3,4,9
5,Winnipeg Blue Bombers,2,17,36,7,39,1,1,2,10
5,Winnipeg Blue Bombers,0,0,46,3,29,3,3,3,12
5,Winnipeg Blue Bombers,0,0,46,7,46,1,0,1,6
5,Winnipeg Blue Bombers,0,0,44,1,2,1,1,2,9
5,Winnipeg Blue Bombers,0,0,59,1,8,1,0,0,9
5,Winnipeg Blue Bombers,0,0,44,4,21,2,1,2,10
5,Winnipeg Blue Bombers,0,0,41,3,11,1,1,1,7
5,Winnipeg Blue Bombers,0,0,50,0,0,2,0,0,7
5,Winnipeg Blue Bombers,4,29,42,0,0,6,0,0,12
5,Winnipeg Blue Bombers,2,33,44,2,15,2,1,1,7
5,Winnipeg Blue Bombers,1,0,34,1,7,4,0,0,5
5,Winnipeg Blue Bombers,0,0,45,1,4,0,2,2,9
5,Winnipeg Blue Bombers,0,0,43,1,2,1,3,3,9
5,Winnipeg Blue Bombers,0,0,42,2,12,3,2,2,11
5,Winnipeg Blue Bombers,1,44,36,1,8,3,0,0,8
5,Winnipeg Blue Bombers,0,0,33,1,7,5,3,2,6
