playerid,touchdowns,points,fumbles
5993,0,0,0
6047,0,0,0
6051,0,0,0
6071,0,0,0
6075,7,42,4
6101,0,0,0
6103,9,58,3
6107,5,30,0
6109,0,0,0
6111,0,0,0
6115,0,0,0
6117,0,0,0
6119,0,0,0
6121,1,6,8
6125,0,0,0
6127,0,0,0
6137,3,18,2
6139,0,0,0
6141,0,0,0
6145,0,0,0
6147,0,0,0
6149,1,6,0
6153,0,0,0
6159,0,0,0
6161,1,6,0
6167,0,0,0
6169,0,0,0
6171,0,0,0
6183,0,0,0
6193,0,0,0
6195,3,18,1
6199,0,0,0
6211,2,12,0
6217,2,12,5
6221,0,0,0
6225,0,0,0
6227,0,0,0
6231,1,6,0
6233,0,0,0
6235,0,0,0
6237,0,0,0
6239,0,0,0
6241,1,6,0
6243,0,0,0
6245,1,6,0
6247,9,56,1
6249,0,0,0
6253,0,0,0
6257,0,0,0
6261,0,0,0
6263,1,6,5
6265,0,0,0
6269,0,0,0
6271,0,0,0
6273,0,0,0
6283,1,6,0
6287,0,0,0
6289,0,0,0
6293,0,0,0
6295,11,66,5
6297,0,0,0
6301,4,24,1
6305,0,0,0
6307,14,84,4
6309,0,0,0
6329,0,0,0
6331,0,0,1
6333,0,0,0
6337,0,0,0
6339,0,0,0
6345,2,12,0
6347,0,0,0
6349,0,0,0
6351,0,0,0
6353,0,0,0
6355,0,0,0
6357,0,0,0
6359,0,0,0
6363,0,0,0
6371,0,0,0
6375,0,0,0
6381,0,0,1
6383,0,0,0
6385,0,0,0
6397,8,48,4
6401,0,60,1
6403,0,0,0
6407,0,0,0
6409,0,0,0
6411,0,0,0
6413,0,0,0
6417,0,0,0
6421,0,0,0
6425,0,0,0
6427,0,0,0
6429,0,0,0
6437,0,0,0
6441,0,0,0
6445,1,6,0
6449,2,14,5
6457,0,0,0
6459,0,0,0
6461,0,0,0
6465,0,0,2
6467,0,0,0
6469,0,0,0
6475,0,0,0
6477,0,0,0
6483,0,0,0
6485,6,36,0
6487,8,48,2
6491,0,0,0
6495,0,0,0
6499,0,0,0
6503,14,84,3
6505,0,0,0
6507,0,0,0
6513,0,0,0
6515,0,0,0
6519,0,0,0
6527,0,0,0
6531,0,0,0
6537,0,0,0
6541,2,12,0
6549,0,0,0
6555,1,6,0
6557,0,0,0
6559,0,0,1
6563,0,0,0
6579,0,0,0
6587,0,0,1
6589,3,20,5
6595,0,0,0
6597,0,0,0
6599,0,0,0
6603,1,6,1
6607,0,0,0
6609,0,0,0
6621,0,0,0
6627,0,0,0
6629,0,0,0
6631,0,0,0
6641,0,0,0
6643,5,32,3
6645,0,0,0
6647,0,0,0
6651,0,0,0
6667,0,0,0
6669,1,6,0
6671,0,0,0
6677,0,0,0
6681,0,0,0
6687,0,0,0
6693,6,38,0
6701,3,18,0
6705,0,0,0
6707,0,0,0
6711,0,0,0
6713,0,0,0
6723,1,6,4
6725,0,0,1
6727,5,30,0
6733,3,18,0
6737,0,0,0
6739,0,0,0
6743,0,0,0
6747,0,0,0
6749,0,0,0
6753,0,0,0
6755,5,30,0
6757,0,0,0
6759,0,0,0
6763,0,0,1
6769,2,12,2
6771,0,0,0
6775,0,0,0
6777,0,0,0
6783,0,0,0
6789,0,0,0
6795,1,6,0
6797,4,24,0
6799,0,0,0
6809,0,0,0
6813,0,0,0
6819,0,0,1
6827,0,0,0
6829,1,6,0
6831,0,0,0
6837,0,0,0
6843,0,0,0
6849,2,12,1
6851,1,6,0
6855,0,0,0
6857,0,0,0
6859,0,0,0
6863,5,30,2
6869,0,0,0
6871,0,0,0
6875,0,0,0
6879,0,0,0
6881,0,0,0
6883,0,0,0
6889,0,0,0
6891,0,0,0
6893,0,0,0
6899,0,0,0
6901,0,0,0
6907,0,119,1
6909,0,0,0
6911,0,0,0
6913,0,0,0
6915,2,12,3
6923,0,0,0
6925,0,0,0
6927,0,0,0
6929,0,0,0
6935,0,0,0
6937,3,18,1
6945,0,0,0
6947,1,6,0
6961,0,0,0
6963,0,0,1
6965,0,12,0
6969,0,0,0
6975,0,0,0
6981,0,0,0
6983,1,6,1
6985,0,0,0
6989,0,0,0
6995,1,6,0
6997,0,0,0
7003,0,0,0
7007,0,0,0
7009,0,0,0
7011,1,6,0
7013,0,0,0
7015,0,0,0
7017,0,0,0
7021,0,0,0
7025,0,2,0
7029,0,0,0
7033,0,0,0
7035,0,0,0
7039,0,0,0
7041,0,0,0
7043,0,0,0
7045,0,0,0
7053,0,0,0
7055,0,0,0
7057,0,0,0
7061,0,0,0
7063,0,0,0
7065,0,0,0
7067,0,0,0
7071,0,0,0
7073,0,0,0
7075,0,0,0
