sked_id,home_initial
218,ham
219,mtl
220,bc
221,edm
222,cgy
223,tor
224,wpg
225,ssk
226,cgy
227,mtl
228,bc
229,ham
230,edm
231,mtl
232,tor
233,bc
234,edm
235,cgy
236,ssk
237,wpg
238,mtl
239,bc
240,ssk
241,ham
242,cgy
243,edm
244,tor
245,mtl
246,wpg
247,edm
248,cgy
249,ham
250,bc
251,ham
252,ssk
253,mtl
254,tor
255,edm
256,ssk
257,wpg
258,bc
259,wpg
260,tor
261,mtl
262,cgy
263,tor
264,edm
265,ham
266,cgy
267,wpg
268,mtl
269,bc
270,ssk
271,ham
272,edm
273,tor
274,cgy
275,wpg
276,ssk
277,ham
278,bc
288,wpg
289,ssk
290,tor
291,bc
292,ssk
294,mtl
295,ham
296,ssk
297,cgy
298,tor
299,wpg
300,edm
301,bc
302,ham
303,cgy
304,wpg
305,ssk
306,tor
307,edm
308,mtl
309,bc
310,mtl
311,edm
312,wpg
313,ham
314,cgy
315,bc
316,ssk
317,tor
318,wpg
319,ham
320,bc
321,ssk
322,mtl
323,edm
324,tor
325,cgy
326,ham
327,ssk
328,wpg
329,bc
330,wpg
331,tor
332,edm
333,bc
334,mtl
335,ssk
336,cgy
337,ham
338,edm
339,ham
340,mtl
341,wpg
342,tor
343,cgy
344,edm
345,bc
346,ham
347,cgy
348,ssk
349,mtl
350,wpg
351,tor
352,bc
353,mtl
354,tor
355,ssk
356,ham
357,edm
358,wpg
359,bc
360,mtl
361,cgy
362,edm
363,tor
364,cgy
365,ssk
366,ham
367,ssk
368,bc
369,mtl
370,tor
371,edm
372,wpg
373,cgy
374,wpg
375,ssk
376,mtl
377,cgy
378,cgy
379,tor
381,wpg
383,edm
385,cgy
387,mtl
389,ham
391,ssk
393,bc
395,ham
397,cgy
399,edm
401,ssk
403,mtl
405,wpg
407,tor
409,bc
411,edm
413,cgy
415,ssk
417,ham
419,mtl
421,wpg
423,bc
425,ssk
427,tor
429,edm
431,ham
433,cgy
435,mtl
437,bc
439,ham
441,cgy
443,edm
445,tor
447,wpg
449,ssk
451,mtl
453,bc
455,edm
457,tor
459,bc
461,ssk
463,ham
465,cgy
467,tor
469,edm
471,mtl
473,wpg
475,ham
477,bc
479,mtl
481,ssk
483,ham
485,cgy
487,edm
489,wpg
491,wpg
493,bc
495,tor
497,cgy
499,edm
501,ssk
503,mtl
505,ham
507,tor
509,cgy
511,mtl
513,wpg
515,tor
517,cgy
519,wpg
521,ssk
523,edm
525,ham
527,bc
529,mtl
531,bc
533,tor
535,ssk
537,wpg
539,ham
541,cgy
543,mtl
545,ssk
547,mtl
548,ssk
549,cgy
550,wpg
551,edm
552,wpg
553,ssk
554,edm
555,mtl
556,na
557,tor
558,tor
559,wpg
560,mtl
561,cgy
562,mtl
563,edm
564,ham
565,ssk
566,cgy
567,cgy
568,bc
569,mtl
570,edm
571,ham
572,bc
573,wpg
574,ham
575,bc
576,edm
577,tor
578,ham
579,ssk
580,bc
581,wpg
582,tor
583,ssk
584,cgy
585,mtl
586,tor
587,bc
588,edm
589,tor
590,ham
591,ssk
592,mtl
593,cgy
594,mtl
595,wpg
596,ham
597,ssk
598,mtl
599,tor
600,cgy
601,edm
602,bc
603,ham
604,cgy
605,wpg
606,edm
607,tor
608,bc
609,mtl
610,ssk
611,ham
612,ssk
613,mtl
614,wpg
615,mtl
616,ssk
617,ham
618,cgy
619,edm
620,ham
621,bc
622,wpg
623,ssk
624,bc
625,tor
626,mtl
627,wpg
628,ham
629,cgy
630,tor
631,cgy
632,tor
633,bc
634,edm
635,cgy
636,ham
637,tor
638,bc
639,mtl
