name,win,loss,points,points_scored,points_conceded
Hamilton Tiger-Cats,False,True,0,26,29
Hamilton Tiger-Cats,True,False,0,37,29
Hamilton Tiger-Cats,True,False,0,52,0
Hamilton Tiger-Cats,False,True,0,22,26
Hamilton Tiger-Cats,False,True,0,34,39
Hamilton Tiger-Cats,False,True,0,20,30
Hamilton Tiger-Cats,True,False,0,28,26
Hamilton Tiger-Cats,True,False,0,25,20
Hamilton Tiger-Cats,False,True,0,11,35
Hamilton Tiger-Cats,False,True,0,0,37
Hamilton Tiger-Cats,False,True,0,20,32
Hamilton Tiger-Cats,True,False,0,30,29
Hamilton Tiger-Cats,True,False,0,33,19
Hamilton Tiger-Cats,True,False,0,37,18
Hamilton Tiger-Cats,True,False,0,24,18
Hamilton Tiger-Cats,True,False,0,37,14
Hamilton Tiger-Cats,True,False,0,5,36
Hamilton Tiger-Cats,True,False,0,27,24
Hamilton Tiger-Cats,False,True,0,37,7
Hamilton Tiger-Cats,True,False,0,36,24
Hamilton Tiger-Cats,False,True,0,23,45
Hamilton Tiger-Cats,True,False,0,28,23
Hamilton Tiger-Cats,False,True,0,23,41
Hamilton Tiger-Cats,False,True,0,10,31
Hamilton Tiger-Cats,False,True,0,24,28
Hamilton Tiger-Cats,True,False,0,7,10
Hamilton Tiger-Cats,True,False,0,33,23
Hamilton Tiger-Cats,False,True,0,26,27
Hamilton Tiger-Cats,False,True,0,29,36
Hamilton Tiger-Cats,False,True,0,20,30
Hamilton Tiger-Cats,True,False,0,13,12
Hamilton Tiger-Cats,False,True,0,31,38
Hamilton Tiger-Cats,False,True,0,28,3
Hamilton Tiger-Cats,True,False,0,25,23
Hamilton Tiger-Cats,True,False,0,16,11
Hamilton Tiger-Cats,True,False,0,19,17
Hamilton Tiger-Cats,False,True,0,33,34
Hamilton Tiger-Cats,False,True,0,16,6
Hamilton Tiger-Cats,False,True,0,24,26
Hamilton Tiger-Cats,True,False,0,34,25
Hamilton Tiger-Cats,True,False,0,29,15
Hamilton Tiger-Cats,False,True,0,16,20
Hamilton Tiger-Cats,True,False,0,40,24
Hamilton Tiger-Cats,False,True,0,23,24
Hamilton Tiger-Cats,True,False,0,52,26
Hamilton Tiger-Cats,False,True,0,13,17
Hamilton Tiger-Cats,True,False,0,31,21
Toronto Argonauts,False,True,0,24,6
Toronto Argonauts,True,False,0,9,20
Toronto Argonauts,True,False,0,24,20
Toronto Argonauts,True,False,0,37,30
Toronto Argonauts,True,False,0,31,29
Toronto Argonauts,True,False,0,39,34
Toronto Argonauts,False,True,0,16,24
Toronto Argonauts,False,True,0,28,39
Toronto Argonauts,True,False,0,33,27
Toronto Argonauts,True,False,0,35,19
Toronto Argonauts,True,False,0,38,12
Toronto Argonauts,True,False,0,34,22
Toronto Argonauts,False,True,0,19,33
Toronto Argonauts,True,False,0,38,13
Toronto Argonauts,True,False,0,36,33
Toronto Argonauts,False,True,0,14,35
Toronto Argonauts,False,True,0,18,24
Toronto Argonauts,True,False,0,26,20
Toronto Argonauts,True,False,0,36,21
Toronto Argonauts,False,True,0,20,23
Toronto Argonauts,False,True,0,24,36
Toronto Argonauts,True,False,0,24,22
Toronto Argonauts,True,False,0,41,23
Toronto Argonauts,False,True,0,21,45
Toronto Argonauts,True,False,0,48,15
Toronto Argonauts,False,True,0,15,34
Toronto Argonauts,False,True,0,17,18
Toronto Argonauts,True,False,0,9,37
Toronto Argonauts,False,True,0,31,5
Toronto Argonauts,True,False,0,38,21
Toronto Argonauts,False,True,0,17,33
Toronto Argonauts,False,True,0,27,41
Toronto Argonauts,False,True,0,12,13
Toronto Argonauts,False,True,0,33,40
Toronto Argonauts,True,False,0,40,23
Toronto Argonauts,True,False,0,33,32
Toronto Argonauts,True,False,0,34,33
Toronto Argonauts,False,True,0,12,20
Toronto Argonauts,True,False,0,26,24
Toronto Argonauts,False,True,0,14,17
Toronto Argonauts,False,True,0,23,5
Toronto Argonauts,False,True,0,27,34
Toronto Argonauts,True,False,0,30,10
Toronto Argonauts,True,False,0,26,11
Toronto Argonauts,True,False,0,42,40
Toronto Argonauts,False,True,0,20,25
Toronto Argonauts,True,False,0,30,27
Montreal Alouettes,False,True,0,26,33
Montreal Alouettes,False,True,0,20,9
Montreal Alouettes,False,True,0,20,24
Montreal Alouettes,False,True,0,30,37
Montreal Alouettes,True,False,0,38,33
Montreal Alouettes,False,True,0,14,36
Montreal Alouettes,False,True,0,11,19
Montreal Alouettes,False,True,0,26,28
Montreal Alouettes,False,True,0,14,22
Montreal Alouettes,True,False,0,17,12
Montreal Alouettes,False,True,0,27,38
Montreal Alouettes,True,False,0,32,27
Montreal Alouettes,False,True,0,13,38
Montreal Alouettes,True,False,0,47,24
Montreal Alouettes,False,True,0,21,24
Montreal Alouettes,False,True,0,27,34
Montreal Alouettes,True,False,0,39,38
Montreal Alouettes,False,True,0,36,5
Montreal Alouettes,False,True,0,24,27
Montreal Alouettes,True,False,0,23,20
Montreal Alouettes,False,True,0,23,28
Montreal Alouettes,False,True,0,10,26
Montreal Alouettes,True,False,0,8,29
Montreal Alouettes,False,True,0,24,9
Montreal Alouettes,False,True,0,33,34
Montreal Alouettes,True,False,0,5,41
Montreal Alouettes,True,False,0,5,31
Montreal Alouettes,False,True,0,23,33
Montreal Alouettes,False,True,0,11,16
Montreal Alouettes,False,True,0,16,24
Montreal Alouettes,True,False,0,20,10
Montreal Alouettes,True,False,0,38,31
Montreal Alouettes,False,True,0,16,33
Montreal Alouettes,True,False,0,31,15
Montreal Alouettes,False,True,0,15,7
Montreal Alouettes,False,True,0,40,9
Montreal Alouettes,True,False,0,20,12
Montreal Alouettes,True,False,0,23,17
Montreal Alouettes,True,False,0,17,14
Montreal Alouettes,False,True,0,15,29
Montreal Alouettes,True,False,0,50,17
Montreal Alouettes,False,True,0,24,40
Montreal Alouettes,False,True,0,10,30
Montreal Alouettes,False,True,0,16,20
Montreal Alouettes,True,False,0,29,11
Montreal Alouettes,False,True,0,23,25
Montreal Alouettes,True,False,0,17,13
Ottawa REDBLACKS,False,True,0,17,21
Ottawa REDBLACKS,True,False,0,26,10
Ottawa REDBLACKS,False,True,0,28,36
Ottawa REDBLACKS,False,True,0,11,27
Ottawa REDBLACKS,True,False,0,18,17
Ottawa REDBLACKS,False,True,0,23,33
Ottawa REDBLACKS,False,True,0,14,38
Ottawa REDBLACKS,False,True,0,17,38
Ottawa REDBLACKS,True,False,0,8,10
Ottawa REDBLACKS,True,False,0,7,32
Ottawa REDBLACKS,False,True,0,10,20
Ottawa REDBLACKS,False,True,0,5,7
Ottawa REDBLACKS,False,True,0,32,35
Ottawa REDBLACKS,True,False,0,7,15
Ottawa REDBLACKS,True,False,0,42,20
Ottawa REDBLACKS,False,True,0,3,41
Ottawa REDBLACKS,True,False,0,6,16
Ottawa REDBLACKS,False,True,0,17,23
Ottawa REDBLACKS,False,True,0,25,34
Ottawa REDBLACKS,True,False,0,5,23
Ottawa REDBLACKS,True,False,0,20,16
Ottawa REDBLACKS,True,False,0,27,16
Ottawa REDBLACKS,False,True,0,17,46
Ottawa REDBLACKS,False,True,0,12,23
Ottawa REDBLACKS,True,False,0,29,26
