game_id,play_id,player1_id,player2_id,tackle1_id
10545,18,4827,3155,3557
10545,19,4827,4883,5729
10545,20,4827,6103,3175
10545,26,5887,5077,4083
10545,27,5887,3199,6227
10545,28,5887,5301,6245
10545,33,4827,5213,5459
10545,34,4827,5713,5729
10545,36,4827,4137,6111
10545,37,4827,3155,5729
10545,38,4827,5213,5945
10545,43,5887,4555,5941
10545,46,5373,4883,3181
10545,50,5887,4555,6101
10545,53,5887,5301,5205
10545,59,5373,5667,6239
10545,61,5373,5943,3181
10545,69,5373,6103,6239
10545,74,5373,4883,NULL
10545,77,5887,6051,6245
10545,81,5373,6233,6239
10545,82,5373,5943,6109
10545,84,5373,6233,6239
10545,85,5373,5677,6109
10545,91,6137,4137,5355
10545,104,6137,4883,5891
10545,107,3709,6047,5859
10545,108,3709,5275,4083
10545,115,6137,5713,6239
10545,118,6137,6233,6239
10545,119,6137,4137,NULL
10545,126,5885,1745,6227
10545,137,5885,5925,6125
10545,140,5885,1745,NULL
10545,143,5725,4741,6111
10545,144,5725,5947,5921
10545,146,5725,5677,6111
10545,148,5725,5667,6243
10545,154,5885,3887,5713
10545,163,5885,5925,5211
10547,2,31,571,5095
10547,17,5377,6247,1567
10547,18,5377,5873,3617
10547,19,5377,4899,2345
10547,26,3239,5721,4833
10547,27,3239,6309,1057
10547,32,5377,6145,6115
10547,33,5377,5873,4703
10547,56,3239,4869,4833
10547,59,5377,5757,4153
10547,63,3239,5721,4833
10547,64,3239,5269,6161
10547,68,5377,6211,6115
10547,69,5377,639,4253
10547,73,3239,4869,4833
10547,74,3239,5269,5795
10547,76,3239,6309,4311
10547,78,5377,4901,5831
10547,84,5377,4901,NULL
10547,89,5907,6145,4153
10547,91,6295,6305,3813
10547,92,6295,6305,6283
10547,94,6295,6309,6283
10547,97,5907,6145,5539
10547,103,5907,4899,5869
10547,111,5907,6147,NULL
10547,118,5907,6247,6297
10547,127,4857,6217,5125
10547,132,2921,5547,5895
10547,133,2921,6301,NULL
10547,137,4857,5715,5151
10547,140,4857,6217,5149
10547,148,2921,5269,5793
10547,150,2921,5547,NULL
10547,161,4857,4985,5149
10547,164,4857,6217,4153
10547,170,2921,6305,6283
10547,171,2921,5547,5895
10547,172,2921,5547,5487
10549,2,3811,4677,5381
10549,5,91,5701,667
10549,7,91,5873,695
10549,11,3811,4063,5381
10549,12,3811,4063,4009
10549,13,3811,2011,5381
10549,14,3811,4677,4009
10549,16,3811,4063,NULL
10549,19,91,6211,695
10549,26,3811,3803,5381
10549,30,91,4899,5913
10549,40,3811,3803,5095
10549,41,3811,4191,4311
10549,44,91,4899,5237
10549,45,91,4579,1747
10549,47,91,4443,4453
10549,48,91,6247,5913
10549,49,91,4443,NULL
10549,52,3811,3803,NULL
10549,55,91,4899,5913
10549,59,3811,4191,6283
10549,61,3811,2011,5341
10549,66,91,4579,4453
10549,67,91,6247,667
10549,68,91,5873,695
10549,77,91,6247,667
10549,81,3811,2011,5341
10549,83,3811,3437,4761
10549,85,3811,4677,5095
10549,86,3811,2011,NULL
10549,90,91,4443,695
10549,91,91,6247,931
10549,94,91,4899,4453
10549,101,3811,4191,4761
10549,102,3811,3437,6409
10549,103,3811,4677,1057
10549,106,3811,4191,6283
10549,108,3811,4677,5381
10549,112,91,6211,1501
10549,115,91,6247,5237
10549,120,3811,3437,4293
10549,122,3811,3437,4761
10549,123,3811,3803,4311
10549,124,3811,4063,6283
10549,128,91,4899,5913
10549,129,91,639,5237
10549,130,91,5701,931
10549,132,3811,4063,5381
10549,134,91,4579,667
10549,135,91,4579,667
10549,138,91,4579,3541
10549,140,91,4443,931
10549,141,91,6247,695
10549,143,91,6247,NULL
10551,2,3675,5701,4799
10551,5,3675,2133,2505
10551,6,3675,5533,4351
10551,10,4795,4773,6257
10551,14,4795,4777,6257
10551,18,3675,6075,4799
10551,20,4795,1999,4683
10551,23,4795,1999,5719
10551,25,3675,5533,4351
10551,38,3881,6371,4351
10551,42,1543,4773,5587
10551,43,1543,4773,5587
10551,49,1543,4777,5719
10551,57,1543,5911,4019
10551,67,3881,6371,NULL
10551,71,1543,4777,4683
10551,72,1543,1999,6331
10551,74,3881,4327,1703
10551,77,1543,1999,2971
10551,81,3881,4327,1703
10551,89,5689,5533,6381
10551,90,5689,6071,6141
10551,102,6263,3787,4085
10551,104,6263,5537,5625
10551,107,5689,6153,1703
10551,110,5689,4327,5593
10551,120,6263,3665,NULL
10551,122,6263,5927,5625
10551,125,6121,5533,4599
10551,127,4811,3787,5587
10551,128,4811,6273,1739
10551,135,4811,6273,NULL
10551,138,4811,5617,5839
10551,140,6121,6261,6381
10551,141,6121,6261,6381
10551,146,6263,3787,NULL
10551,148,6263,5927,1739
10551,150,6263,6269,6331
10551,152,6263,3787,1739
10551,155,6263,5927,NULL
10551,162,6121,4327,NULL
10551,164,6121,4327,2619
10553,4,3709,4371,5021
10553,12,3709,1401,1887
10553,15,1543,4777,4269
