playerid,touchdowns,points,fumbles,first,last,team,height,weight,birthdate,birthplace,position
4357,0,0,0,Jason,Vega,Toronto Argonauts,6.04,257,31927,"Brockton, MA",WR
4365,1,6,1,Chris,Williams,Ottawa Redblacks,5.09,155,32036,"Rio Rancho, NM",WR
4367,0,0,0,Brian,Simmons,Hamilton Tigercats,6.05,310,31122,"Raleigh, NC",WR
4371,4,24,0,Aaron,Kelly,NULL,6.04,193,31522,"Marietta, GA",WR
4375,0,0,0,Spencer,Wilson,Calgary Stampeders,6.06,303,32240,"Toronto, ON",DL
4377,0,0,0,Demetrice,Morley,Calgary Stampeders,6,195,31981,"Miami, FL",WR
4385,0,0,0,Devin,Tyler,Winnipeg Blue Bombers,6.07,320,31595,"Washington, DC",DB
4399,0,0,0,Marcell,Young,Edmonton Eskimos,6,190,32022,"Jackson, MS",WR
4401,0,0,0,Sam,Scott,NULL,6.05,245,31951,"Chester, PA",OL
4405,0,0,0,Akwasi,Antwi,NULL,6,254,31176,"Toronto, ON",OL
4409,0,0,0,LaMarcus,Coker,Calgary Stampeders,6,190,31589,"Antioch, TN",DB
4411,0,0,1,Kierrie ,Johnson,Toronto Argonauts,5.05,163,32359,"Houston, TX",OG
4435,1,6,0,Kito,Poblah,Calgary Stampeders,6.02,209,32038,"Montréal, QC",DB
4443,7,44,2,Bakari,Grant,Hamilton Tigercats,6.04,195,31952,"Oakland, CA",WR
4453,1,6,0,Adam ,Bighill,BC Lions,5.1,230,32432,"Montesano, WA",DB
4479,0,0,0,Alexander,Krausnick,Edmonton Eskimos,6.03,290,32576,"Calgary, AB",DB
4501,0,457,1,Rene,Paredes,Calgary Stampeders,5.11,197,31182,"Caracas, Venezuela",WR
4503,0,0,0,Ted,Laurent,Hamilton Tigercats,6.01,303,32143,"Montreal, QC",DL
4507,2,12,0,Geoff,Tisdale,Saskatchewan Roughriders,5.11,195,31464,"Pacoima, CA",RB
4509,0,0,0,Tony,Washington,Edmonton Eskimos,6.07,318,31460,"New Orleans, LA",WR
4511,0,0,0,Khreem,Smith,BC Lions,6.03,270,29043,"St. James, Jamaica",OG
4555,2,12,1,Chris,Garrett,NULL,5.07,195,31819,"Utica, NY",DL
4557,0,0,0,Marcus,Howard,Edmonton Eskimos,6.01,245,31332,"Huger, SC",RB
4579,7,44,1,Andy,Fantuz,Hamilton Tigercats,6.04,220,30668,"Chatham, ON",NA
4589,3,18,8,Jock,Sanders,Ottawa Redblacks,5.07,191,32308,"St. Petersburg, FL",DB
4599,0,0,0,Woodny,Turenne,NULL,6.01,182,32045,"Fort Lauderdale, Fla",RB
4609,0,0,0,Tyron ,Brackenridge,Saskatchewan Roughriders,6,189,30863,"Pasadena, CA",OG
4611,0,0,0,Kurt,Adams,Calgary Stampeders,6.05,191,31968,"Searcy, AR",OG
4631,0,0,0,Jasper,Simmons,Calgary Stampeders,6.01,223,32740,"Pensacola, FL",OG
4649,1,6,0,Marc,Beswick,NULL,6.01,198,30339,"Vancouver, BC",OG
4677,8,50,3,Courtney,Taylor,BC Lions,6.01,205,30779,"Carrollton, AL",RB
4683,0,0,1,Joe,Burnett,Calgary Stampeders,5.1,192,31744,"Eustis, FL",OG
4703,0,0,0,Bear,Woods,Montreal Alouettes,6,245,31799,"Macclenny, FL",C
4713,0,0,0,Chris,McCoy,Calgary Stampeders,6.03,261,31742,"Villa Rica, GA",OL
4731,0,0,0,Travon,Patterson,Calgary Stampeders,5.09,170,32406,"Long Beach, CA",WR
4735,1,6,0,Graig,Newman,Winnipeg Blue Bombers,6.01,214,32661,"Langley, BC",RB
4741,3,18,1,Julian,Feoli-Gudino,Winnipeg Blue Bombers,6,211,31950,"San Jose, Costa Rica",WR
4747,6,36,4,Chad,Simpson,Edmonton Eskimos,5.09,205,31281,"Miami, FL",WR
4761,0,0,0,Simoni,Lawrence,Hamilton Tigercats,6.01,228,32540,"Upper Darby, PA",OG
4763,0,0,0,Michael,Ricks,NULL,6.02,203,31874,"Courtland, AL",OLB
4769,0,0,0,Martell,Mallett,Calgary Stampeders,6,208,31545,"Pine Bluff, AR",QB
4773,13,78,2,Taj,Smith,Saskatchewan Roughriders,6.01,198,30589,"Newark, NJ",DT
4777,14,86,2,Kory,Sheets,Calgary Stampeders,5.11,208,31137,"Hartford, CT",DB
4781,1,6,0,Marcus,Ball,Calgary Stampeders,6.01,209,31979,"Norfolk, VA",DL
4787,6,36,1,Dontrelle,Inman,Calgary Stampeders,6.03,204,32539,"Charleston, SC",DB
4795,2,12,6,Drew,Willy,Winnipeg Blue Bombers,6.04,221,31729,"Randolph, NJ",DB
4799,1,6,0,Abraham,Kromah,NULL,6,227,32419,"Staten Island, NY",DB
4803,0,0,0,Alvin,Bowen,NULL,6.02,225,30674,"East Orange, NJ",WR
4811,0,0,0,Levi,Brown,Calgary Stampeders,6.04,225,31847,"Mount Juliet, TN",WR
4827,1,6,2,Trevor,Harris,Toronto Argonauts,6.03,212,31563,"Waldo, OH",QB
4831,0,0,0,Xavier,Fulton,Saskatchewan Roughriders,6.04,300,31520,"Flossmoor, IL",OL
4833,0,0,1,Ricardo,Colclough,Calgary Stampeders,5.11,194,30585,"Sumter, SC",DB
4857,0,0,5,Jeremiah,Masoli,Hamilton Tigercats,5.1,221,32379,"San Francisco, CA",DB
4869,0,0,6,Noel,Devine,NULL,5.08,180,32189,"Fort Myers, FL",OLB
4883,2,12,1,Trent,Guy,Calgary Stampeders,5.09,170,32011,"Charlotte, NC",DB
4891,0,0,0,Marc,Dile,NULL,6.04,300,31537,"Orlando, FL",DB
4899,4,24,0,Onrea,Jones,Calgary Stampeders,6,202,30672,"Clarksville, TN",WR
4901,8,48,1,Chevon,Walker,Ottawa Redblacks,5.1,201,31906,"Montego Bay, Jamaica  ",RB
4905,0,0,0,Giovanni,Aprile,Hamilton Tigercats,6.03,220,32671,"Toronto, ON",OLB
4911,0,0,0,Kyle,Graves,Montreal Alouettes,6.03,220,32793,"Barrie, ON",RB
4923,1,6,0,Keenan ,MacDougall,Saskatchewan Roughriders,6.02,216,32950,"Saskatoon, SK",WR
4929,0,0,0,Shea,Pierre,NULL,5.1,189,32528,"Mississauga, ON",OLB
4931,1,6,0,Teague ,Sherman,Winnipeg Blue Bombers,5.11,189,32231,"Edmonton, AB",DB
4943,0,0,1,Patrick ,Lavoie,Ottawa Redblacks,6.02,240,32069,"Saint-Flavie, QC",OG
4949,0,0,0,Jonathan ,Beaulieu-Richard,NULL,6.01,215,32426,"Trois-Riviere, QC",QB
4953,0,0,0,Wilkerson ,DeSouza,Calgary Stampeders,5.11,221,31712,"Ipatinga, BR",DB
4957,0,0,0,Sam,Hurl,Winnipeg Blue Bombers,6.01,231,32989,"Calgary, AB",WR
4961,0,0,0,Frédéric,Plesius,Hamilton Tigercats,6.01,240,32183,"Laval, QC",DB
4963,0,0,0,Kevin,Régimbald,Saskatchewan Roughriders,6.01,225,31965,"Rouyn-Noranda, QC",OG
4965,0,0,0,Kirby ,Fabien,BC Lions,6.06,295,33123,"Calgary, AB",OL
4967,0,0,0,Ben ,Heenan,NULL,6.04,310,32909,"Regina, SK",OG
4975,0,0,0,Matthew ,Norman,BC Lions,6.03,317,32314,"Chateauguay, QC",OG
4977,0,0,0,Tyson ,Pencer,NULL,6.07,300,32549,"North Delta, BC",DB
4983,5,32,0,Shamawd,Chambers,Edmonton Eskimos,6.03,219,32577,"Toronto, ON",QB
4985,2,12,0,Simon ,Charbonneau-Campeau,Calgary Stampeders,6.04,211,32265,"St-Jean-sur-Richelieu, QC",RB
4997,0,0,0,Justin ,Capicciotti,Ottawa Redblacks,6.03,235,32826,"Toronto, ON",DB
4999,0,0,0,Arnaud ,Gascon-Nadon,Hamilton Tigercats,6.03,250,32334,"Montreal, QC",OL
5003,1,6,0,David ,Lee,NULL,6.04,259,33120,"London, ON",DT
5009,0,0,0,Jake ,Thomas,Winnipeg Blue Bombers,6.02,274,33213,"Douglas, NB",RB
5021,0,0,0,Macho,Harris,Saskatchewan Roughriders,6,200,31459,"Highland Springs, VA",OL
5033,0,0,0,Gerard,Lawson,Calgary Stampeders,5.1,195,31059,"Las Vegas, NV",OG
5039,0,0,0,Alex,Hall,Saskatchewan Roughriders,6.05,260,31276,"Glenarden, MD",RB
5041,0,0,0,Terrell,Parker,NULL,5.11,223,32072,"Baltimore, MD",OL
5045,2,12,3,Demond,Washington,Winnipeg Blue Bombers,5.09,180,32050,"Tallassee, AL",OL
5051,0,0,0,Daniel,Sheffield,NULL,6.04,210,32183,"Ashburn, GA",OLB
5077,1,6,0,Chris,Matthews,Calgary Stampeders,6.05,227,32787,"Long Beach, CA",OL
5083,7,42,14,Bo Levi,Mitchell,Calgary Stampeders,6.02,196,32935,"Katy, TX",S
5089,0,0,0,Jabar,Westerman,BC Lions,6.02,285,32641,"Fort Lauderdale, FL",OG
5093,0,0,0,Ameet,Pall,NULL,6,245,31895,"Montréal, QC",OG
5095,0,0,0,Courtney,Stephen,Hamilton Tigercats,6,194,32808,"Brampton, ON",K
5097,0,0,0,Cleyon,Laing,Toronto Argonauts,6.03,280,33198,"Edmonton, AB",WR
5099,0,0,0,Bo,Adebayo,NULL,6.04,268,32227,"Edmonton, AB",WR
5103,0,0,0,Michael,Atkinson,Hamilton Tigercats,6,312,32572,"Windsor, ON",DB
5107,0,0,0,Rene,Stephan,NULL,6.02,221,32270,"St. Catharine's, ON",WR
5109,0,0,0,Herve,Tonye-Tonye,Toronto Argonauts,5.11,234,32278,"Yaounde, Cameroon",DB
5111,0,0,0,Lance,Milton,Calgary Stampeders,5.11,175,31840,"Calgary, AB",LS
5113,0,0,0,Brad,Erdos,Calgary Stampeders,6.03,299,32989,"Lethbridge, AB",DB
5115,0,0,0,Quincy,Hurst,Calgary Stampeders,5.08,152,32429,"Vancouver, BC",DL
5117,0,0,0,Adam,Berger,Calgary Stampeders,6,207,33052,"Vancouver, BC",DL
5119,0,0,0,Mike,Filer,Hamilton Tigercats,6.02,300,32999,"Brantford, ON",OG
5125,0,0,0,Bryn,Roy,Montreal Alouettes,6.01,225,32237,"Dalemead, AB",OG
5127,0,0,0,Hasan,Hazime,Hamilton Tigercats,6.05,260,32134,"Pickering, ON",RB
5131,0,0,0,Ryan,King,Edmonton Eskimos,5.11,218,31462,"Edmonton, AB",OG
5133,0,0,1,Aaron,Crawford,Hamilton Tigercats,6.04,250,31678,"Medicine Hat, AB",QB
5139,0,0,0,Ryan,White,Montreal Alouettes,6.04,290,31788,"Montreal, QC",WR
5149,0,0,0,Kenny,Ingram,Calgary Stampeders,6.05,238,31470,"Orlando, FL",WR
5151,1,6,0,Ed,Gainey,Hamilton Tigercats,5.11,195,33030,"Winston-Salem, NC",QB
5153,4,24,0,Joe,West,Calgary Stampeders,6.01,202,30713,"Melbourne, FL",QB
5159,0,0,0,Deron,Mayo,Calgary Stampeders,5.11,225,32230,"Hampton, VA",WR
5177,0,0,0,Antareis,Bryan,Saskatchewan Roughriders,6.02,193,32283,"Dallas, TX",DB
5183,0,0,0,Dan,West,Saskatchewan Roughriders,6.02,205,31658,"Ajax, ON",WR
5189,0,0,0,Jalil,Johnson,Calgary Stampeders,5.1,182,32337,"Leland, MS",OG
5195,3,18,4,Thomas ,DeMarco,Ottawa Redblacks,5.11,200,32524,"Palm Desert, CA",DL
5205,0,0,0,Jalil,Carter,Calgary Stampeders,6.01,205,32707,"Toledo, Ohio",DB
5211,0,0,0,Bryan,Payton,Calgary Stampeders,6.02,210,31626,"West Covina, California",DB
5213,0,0,0,Gerald,Riggs Jr.,Calgary Stampeders,5.11,216,30587,"Chattanooga, Tennessee",DB
5215,0,0,1,Jerod,Zaleski,Montreal Alouettes,6.04,241,32862,"Kelowna, BC",DB
5223,0,0,0,Glenn,Love,Calgary Stampeders,6.04,225,32667,"Champaign, IL",WR
5233,0,0,0,Troy,Butler,Calgary Stampeders,5.11,199,31915,"Waldorf, MD",WR
5237,0,0,0,Joshua,Bell,Calgary Stampeders,6,174,31055,"Los Angeles, CA",RB
5245,0,0,1,Fred,Bennett,Calgary Stampeders,6.01,192,30681,"Manning, SC",OL
5247,2,12,0,Chris,Randle,Winnipeg Blue Bombers,5.11,193,32312,"Berkeley, CA",OLB
5255,0,0,0,Louie,Richardson,Winnipeg Blue Bombers,6.04,236,31312,"Vancouver, BC",QB
5261,10,60,3,Nic ,Grigsby,Calgary Stampeders,5.11,195,32503,"Los Angeles, CA",RB
5269,0,0,0,Ezra,Millington,NULL,6,195,32293,"Newmarket, ON",WR
5275,0,0,0,Doug,Pierce,Calgary Stampeders,6.05,211,31942,"Arp, TX",OG
5289,0,8,2,Josh,Bartel,Calgary Stampeders,6.03,200,31160,Australia,QB
5297,0,0,0,Brandon ,Jordan,Calgary Stampeders,6.05,255,32403,"Houston, TX",OLB
5301,0,2,0,Isaac,Anderson,Calgary Stampeders,5.1,173,32473,"Minneapolis, MN",LS
5307,0,0,0,Brandon,Boudreaux,Calgary Stampeders,6.01,240,32685,"Auburn, AL",OL
5315,0,0,0,Matt,Bucknor,Winnipeg Blue Bombers,5.11,185,31228,"Hamilton, ON",DB
5337,1,6,1,Patrick,Watkins,Edmonton Eskimos,6.05,205,30303,"Tallahassee, Florida",DB
5341,0,0,0,Raymond,Brown,NULL,6.03,206,31683,"St. Louis, Missouri",OLB
5355,0,0,0,Jeremy,McGee,Calgary Stampeders,5.1,185,32347,"New Orleans, LA",QB
5367,0,4,0,Anthony,Alix,Ottawa Redblacks,5.11,189,31754,"Mont-Tremblant, Quebec",WR
5369,7,42,2,Ernest ,Jackson,Ottawa Redblacks,6.02,220,31694,"Rochester, NY",DB
5373,8,48,19,Zach,Collaros,Hamilton Tigercats,6,216,32382,"Steubenville, Ohio",DB
5375,1,6,0,Terrell,Maze,Saskatchewan Roughriders,5.11,175,30754,"Fort Hood, TX",DL
5377,13,78,3,Dan,LeFevour,Montreal Alouettes,6.03,230,31855,"Downers Grove , IL",OL
5381,1,6,0,Rico,Murray,Hamilton Tigercats,5.11,200,32010,"Cincinnati, OH",OL
5391,0,0,0,C.J.,Washington,Calgary Stampeders,5.08,160,32753,"Winston-Salem, NC",QB
5401,0,0,0,Alan-Michael,Cash,Montreal Alouettes,6.02,292,32009,"Richmond, VA",K
5403,0,0,0,Mike ,Lockley,NULL,6.02,250,32253,"Orlando, FL",OG
5409,2,12,0,Jamar,Wall,Calgary Stampeders,5.1,196,32152,"Lubbock, TX",OLB
5415,0,0,0,Michael ,Ola,Calgary Stampeders,6.03,278,32252,"Riverdale, GA",S
5417,0,0,0,Mike,Benson,BC Lions,5.1,238,31910,"Winnipeg, MB",WR
5429,0,0,0,Shannon,Boatman,Calgary Stampeders,6.06,325,31010,"Beaumont, TX",OL
5439,0,296,0,Swayze,Waters,Toronto Argonauts,6,185,31915,"Jackson , MS",OG
5445,12,72,2,Will,Ford,NULL,5.11,195,31761,"Travelers Rest, SC",RB
5449,0,0,0,Steven,Doege,Calgary Stampeders,6.03,258,33260,"Kelowna, BC",RB
5453,0,0,0,Brody,McKnight,NULL,6,204,32801,"Vancouver, BC",OG
5459,0,0,0,JT,Gilmore,Calgary Stampeders,6.03,276,31836,"West Covina, CA",OLB
5461,0,0,0,Derrius,Brooks,Calgary Stampeders,5.1,195,32292,"Columbus, GA",OG
5473,1,6,0,Brandon,Rutley,Montreal Alouettes,5.11,192,32606,"Tuscaloosa, AL",OG
5485,1,6,0,Alonzo,Lawrence,NULL,6,218,32796,"Dallas, TX",OG
5487,0,0,0,Donovan,Robinson,NULL,6.03,250,32527,"Milwaukee, WI",OL
5491,1,6,0,Chris,Jennings,Calgary Stampeders,5.1,218,31393,"Yuma, AZ",OL
5493,0,0,0,Scooter,Berry,NULL,6.02,285,31591,"North Babylon, N.Y.",DL
5499,1,6,0,Lavasier,Tuinei,NULL,6.05,220,33145,"Arcadia, IN",OL
5501,0,0,0,Brandon,Lang,Calgary Stampeders,6.04,257,31581,"Tucker, GA",DL
5509,0,0,0,Terrence,Moore,Calgary Stampeders,6.03,290,32539,"New Orleans, LA",OG
5513,0,0,0,Cordarro,Law,Calgary Stampeders,6.02,262,32431,"Whitfield, AL",OL
5519,0,0,0,Monte,Lewis,Calgary Stampeders,6.03,241,32430,"Abbeville, AL",QB
5533,1,6,0,Ed,Gant,NULL,6.03,200,31801,"Fort Myers, FL",OLB
5535,0,0,0,Ramzee,Robinson,NULL,5.1,190,30732,"Huntsville, AL",DB
5537,0,0,0,Phillip,Livas,NULL,5.07,180,32622,"Houma, LA",OG
5539,1,6,0,Winston,Venable,Montreal Alouettes,5.11,220,31867,"San  Rafael, CA",WR
5545,0,0,0,Aaron ,Lavarias,Montreal Alouettes,6.03,250,32260,"Woodinville, WA",WR
5547,2,12,2,Tyron,Carrier,NULL,5.08,170,32130,"Houston, TX",QB
5553,4,24,2,Wallace,Miles,Edmonton Eskimos,6.01,195,32721,"Atlanta, GA",RB
5559,0,0,0,Josh,Jasper,Calgary Stampeders,5.11,171,32107,"Memphis, Tennessee",WR
5571,0,0,0,Vincent,Agnew,Toronto Argonauts,5.1,195,32139,"Grand Rapids, MI",OLB
5575,0,0,0,Eddie,Elder,Calgary Stampeders,5.1,186,32553,"Sacramento, CA",WR
5585,0,0,0,DeAngelo,Smith,Calgary Stampeders,5.11,197,31610,"Columbus, OH",WR
5587,0,0,0,Bryan,Williams,NULL,5.11,198,32037,"Akron, OH",WR
5593,1,6,1,Brian,Peters,Calgary Stampeders,6.03,218,32447,"Pickerington, OH",DB
5601,0,0,0,Christopher,Lyle,Calgary Stampeders,6.03,260,31924,"Waldorf, MD",K
5607,0,0,0,Philippe,Dubuisson-Lebon,NULL,6.02,221,32155,"Montreal, QC",LS
5609,0,0,0,Anthony,Degrate,Calgary Stampeders,6.02,237,31967,"Dallas, TX",QB
5615,0,0,0,Nate ,Bussey,NULL,6.02,220,32559,"Washington, DC",OLB
5617,0,0,0,Stephfon,Green,NULL,5.09,200,32656,"Bronx, NY",K
5619,0,19,0,Ricky,Schmitt,Montreal Alouettes,6.03,213,31276,"Virginia Beach, VA",DB
5623,0,0,0,David ,Clowney,NULL,6,188,31236,"Amityville, NY",WR
5625,0,0,0,Donovan,Richard,NULL,6,220,32736,"Georgetown, SC",DB
5633,0,0,0,Bo,Lokombo,BC Lions,6.02,233,33161,"Kinslasa, Congo",OG
5643,0,0,0,Kalonji,Kashama,Ottawa Redblacks,6.04,259,33424,"Brampton, ON",OG
5645,0,0,0,Brett,Jones,Calgary Stampeders,6.02,318,33448,"Weyburn, SK",QB
5647,0,0,0,Ben,D'Aguilar,Calgary Stampeders,6.02,236,32763,"Hamilton, ON",DB
5653,0,0,0,Brander,Craighead,Calgary Stampeders,6.07,300,33124,"Belleville, ON",QB
5655,0,0,0,Nolan,MacMillan,Ottawa Redblacks,6.06,294,33228,"Arnprior, ON",QB
5667,0,0,0,Tyler,Beiler,Calgary Stampeders,6,196,32461,"Ronks, PA",OLB
5669,0,0,0,Shane,Horton,NULL,6.01,215,32349,"Chatsworth, CA",OLB
5671,0,0,0,Ryan,Wellman,NULL,6.06,235,33127,"Regina, SK",RB
5677,4,24,3,Darvin,Adams,Winnipeg Blue Bombers,6.02,185,32878,"Canton, Mississippi",DB
5689,1,6,0,Jacory,Harris,Hamilton Tigercats,6.04,205,33005,"Miami, FL",OG
5701,0,0,4,Tavoy,Moore,NULL,5.06,196,32672,"Long Beach, CA",DB
5705,0,0,0,SirVincent,Rogers,Ottawa Redblacks,6.04,319,31541,"Jasper, TX",DB
5707,0,0,0,Kenny,Horsley,Calgary Stampeders,6.06,295,32217,"Newport News, VA",QB
5709,0,0,0,Janzen,Jackson,Calgary Stampeders,6,187,33221,"Lake Charles, LA",WR
5713,0,0,0,Juaquin,Iglesias,NULL,6.01,212,32011,"Killeen, TX",LS
5715,0,0,0,Lyle ,Leong Jr.,NULL,6.01,185,32012,"Abilene, TX",WR
5717,0,0,0,Kendric,Burney,NULL,5.09,190,32187,"Jacksonville, N.C.",OG
5719,1,6,0,Rennie,Curran,NULL,5.11,230,32457,"Snellville, GA",RB
5721,0,0,0,Wallace,Wright,NULL,6.01,201,30713,"Fayetteville, N.C.",OL
5723,0,0,0,Brett,Cameron,NULL,6.01,197,33088,"Winnipeg, MB",K
5725,0,0,0,Josh,Portis,NULL,6.04,205,31972,"Woodland Hills, CA",WR
5727,0,0,0,Brandyn,Thompson,Ottawa Redblacks,5.1,188,32811,"Elk Grove, CA",OL
5729,1,6,0,Desia,Dunn,NULL,5.09,194,32457,"Stockton, CA",WR
5737,0,0,0,Markell,Carter,NULL,6.04,245,32873,"Bartlesville, OK",QB
5741,1,6,0,Seydou Junior,Haidara,Saskatchewan Roughriders,6.01,215,32572,"Quebec, QC",DL
5743,0,0,0,Yannick,Morin-Plante,Calgary Stampeders,6,193,32776,"Drummondville, QC",OLB
5757,0,0,0,Simon,Le Marquand,Calgary Stampeders,6.01,199,32463,"Gatineau, QC",RB
5777,0,0,0,Isaac,Dell,NULL,6.01,218,32972,"Niagara Falls, ON",OG
5779,0,0,0,Brendan ,Gillanders,Toronto Argonauts,5.11,211,33204,"Orleans, ON",OL
5783,1,6,0,Steven,Lumbala,Montreal Alouettes,5.11,220,33459,"Montréal, QC",DB
5793,0,0,0,Mike,Daly,Hamilton Tigercats,6.01,182,33023,"Kitchener, ON",OG
5795,0,0,0,Neil,King,Hamilton Tigercats,6,195,32396,"Edmonton, AB",WR
5797,0,0,0,Matt,McGarva,Calgary Stampeders,5.11,199,33384,"Surrey, BC",QB
5799,0,0,0,Romeo,Pellum,Calgary Stampeders,5.1,184,32566,"Long Beach, CA",WR
5801,0,0,0,Reggie,Jones,Calgary Stampeders,6,195,31486,"Bellevue, WA",QB
5809,0,0,0,Hilee,Taylor,NULL,6.02,250,31611,"Laurinburg, NC",WR
5811,0,0,0,Will,Davis,NULL,6.02,248,31930,"Greenbelt, MD",WR
5827,0,0,0,Elie,Ngoyi,Edmonton Eskimos,6.02,255,32411,Congo,DB
5831,0,0,0,Nicolas,Boulay,Montreal Alouettes,6,220,32769,"Magog, QC",K
5833,0,0,0,Mike,Edem,Montreal Alouettes,6.01,200,32700,"Lagos, Nigeria",WR
5837,0,0,0,Pawel ,Kruba,NULL,5.11,210,32953,"Tecumseh, ON",RB
5839,0,0,0,Kyle,Norris,NULL,6.03,235,32944,"Stittsville, ON",QB
5841,0,0,0,Carl-Olivier,Primé,Hamilton Tigercats,6.01,255,32780,"Laval, QC",DB
5845,0,191,4,Lirim,Hajrullahu,Winnipeg Blue Bombers,5.11,205,32987,"St. Catharines, ON",QB
5847,0,34,0,Brett,Lauther,Calgary Stampeders,6.01,195,33181,"Truro, NS",DB
5849,0,0,0,Harold,Mutobola,NULL,6.01,190,32861,"Congo, Africa",WR
5855,0,0,0,Landon,Rice,Hamilton Tigercats,6.06,315,32201,"Brandon, MB",WR
5857,0,0,0,Michael ,Klassen,Montreal Alouettes,6.05,275,33317,"Calgary, AB",S
5859,1,6,0,Jermaine,Gabriel,Toronto Argonauts,5.1,199,32946," Scarborough, ON",WR
5863,0,0,0,Stephen,Adekolu,BC Lions,6.04,200,32528,"Brampton, ON",DB
5867,0,0,0,Andre,Ramsey,Calgary Stampeders,6.05,322,31982,"Portsmouth, NH",DB
5869,0,0,0,Dominic,Rhodes,Calgary Stampeders,5.09,205,28872,"Waco, Texas",OG
5871,6,36,4,Paris,Cotton,Winnipeg Blue Bombers,5.08,193,32814,"Miami, FL",RB
5873,17,102,3,C.J.,Gable,Hamilton Tigercats,6.01,215,32069,"Sylmar, CA",WR
5879,0,0,0,Joel,Figueroa,Hamilton Tigercats,6.06,320,32688,"North Miami, FL",QB
5885,0,0,0,Chase,Clement,Calgary Stampeders,6.01,222,31574,"San Antonio, TX",OLB
5887,0,0,3,Max,Hall,NULL,6.01,200,31321,"Mesa, AZ",QB
5889,0,0,0,Elvis,Akpla,Calgary Stampeders,6.01,191,32514,"Portland, OR",WR
5891,0,0,0,Marquis,Frazier,Calgary Stampeders,6.04,276,32036,"Garland, TX",DB
5893,0,0,0,Jameze,Massey,Calgary Stampeders,5.07,168,33017,"Monroe, NC",OG
5895,1,6,0,Erik,Harris,Hamilton Tigercats,6.03,225,32965,"New Oxford, PA",DB
5897,0,0,0,Arthur,Hobbs,Calgary Stampeders,5.1,195,32830,"San Diego, CA",OG
5903,0,0,0,Ouslet,Volcy,Calgary Stampeders,5.09,175,32650,"Miami, FL",DB
5905,0,0,0,Craig,Marshall,NULL,6.04,290,32183,"Fort Walton Beach, FL",DB
5907,2,12,2,Brian,Brohm,Winnipeg Blue Bombers,6.03,232,31313,"Louisville, KY",DB
5911,1,6,0,Eron,Riley,NULL,6.03,205,31994,"Savannah, GA",DB
5913,2,12,0,Cord,Parks,BC Lions,5.11,180,31728,"Decatur, GA",DB
5921,0,0,0,Wendell,Brown,Calgary Stampeders,5.11,222,31752,"Detroit, MI",OLB
5923,0,0,0,Freddie,Harris,Calgary Stampeders,6.02,233,31584,"Carrollton, TX",DB
5925,0,0,0,Trevor,Kennedy,Calgary Stampeders,6,202,33136,"Akron, OH",WR
5927,0,0,0,DeDe ,Dorsey,NULL,5.11,210,30895,"Broken Arrow, OK",RB
5929,0,0,0,Antonio ,Coleman,Hamilton Tigercats,6.01,254,31656,"Mobile, AL",OLB
5931,0,0,0,Richard ,Sumlin,NULL,6.02,270,32846,"Medina, OH",OLB
5933,0,0,0,Chris,Hart,NULL,6.02,220,32212,"Bradenton, FL",QB
5941,0,0,0,Nekos,Brown,NULL,6.01,253,32191,"Brandywine, MD",RB
5943,10,60,5,Curtis,Steele,Toronto Argonauts,5.11,189,31860,"Franklin, TN",K
5945,1,6,2,Ian,Wild,NULL,6,208,32945,"Pittsburgh, PA",OG
5947,0,0,0,Quinn,Porter,Calgary Stampeders,5.11,298,31445,"Los Angeles, CA",OLB
5949,0,0,0,Dexter,Davis,Calgary Stampeders,6.03,215,33234,"Wichita, KS",OG
5955,0,0,0,Steven ,Shott,Calgary Stampeders,6.04,210,32874,"Vancouver, BC",OLB
5959,0,0,0,Whitman,Tomusiak,Calgary Stampeders,6.01,190,33482,"Mill Bay, BC",WR
5965,0,0,0,Damone,Blackman,NULL,5.11,170,32686,"Oshawa, ON",WR
5967,0,0,0,Smith,Wright,NULL,6.02,220,32991,"Calgary, AB",QB
5969,0,0,0,Billy,Pavlopoulos,Calgary Stampeders,6.02,210,33454,"Georgetown, ON",RB
5973,0,0,1,Shane,Bergman,Calgary Stampeders,6.07,330,32913,"Teeterville, ON",OG
5975,0,0,0,Simon,Légaré,NULL,6.04,275,32777,"Montreal, QC",WR
5985,0,0,0,Jorgen,Hus,Saskatchewan Roughriders,6.01,230,32763,"Saskatoon, SK",RB
5987,0,2,0,Charlie,Power,Calgary Stampeders,6.03,239,33390,"Chamblee, GA",OLB
5989,1,6,1,Natey,Adjei,Toronto Argonauts,5.1,193,32766,"Toronto, ON",WR
5991,0,0,1,Carl,Fitzgerald,NULL,6.05,253,32886,"Peterborough, ON",WR
5993,0,0,0,Connor,Williams,Ottawa Redblacks,6.03,278,33486,"North Vancouver, BC",WR
6047,0,0,0,Quintin,McCree,Calgary Stampeders,6.01,195,32037,"Brandywine, MD",WR
6051,0,0,0,Tim,Hutchison,Calgary Stampeders,6.05,204,32191,"Naracoorte, Australia",WR
6071,0,0,0,Rico,Wallace,NULL,6.03,215,33018,Hanover MD,RB
6075,7,42,4,John,White,Edmonton Eskimos,5.08,186,33335,"Torrance, CA",RB
6101,0,0,0,Major,Culbert,Calgary Stampeders,5.11,208,32140,"Harbor City, CA",RB
6103,9,58,3,John,Chiles,Calgary Stampeders,6.01,209,32425,"Dallas, TX",RB
6107,5,30,0,Korey,Williams,Saskatchewan Roughriders,6,185,31969,"New Orleans, LA",RB
