playerid,touchdowns,points,fumbles,first,last,team,height,weight,birthdate,birthplace,position
667,0,0,0,Korey,Banks,NULL,5.11,199,29082,"Boynton Beach, FL",DL
691,0,0,0,Kyries,Hebert,Montreal Alouettes,6.03,222,29503,"Eunice, LA",DL
695,1,6,0,Dante,Marsh,Calgary Stampeders,5.1,190,28912,"Oakland, CA",WR
735,0,0,1,Marwan,Hage,Calgary Stampeders,6.02,291,29843,"Beirut, Lebanon",OG
741,0,0,0,Walter,Spencer,NULL,5.1,217,28805,"Detroit, MI",OG
755,0,0,0,Chad,Rempel,NULL,6.03,225,29729,"Sherwood Park, AB",WR
767,0,0,0,Neal,Hughes,NULL,5.1,208,29404,"Regina, SK",S
771,0,0,0,Joey,Elliott,NULL,6.03,209,31626,"Franklin, IN",OG
773,4,24,2,Nik,Lewis,Montreal Alouettes,5.1,240,30105,"Jacksboro, TX",DB
787,0,0,1,Kyle,Jones,11,6.02,209,31583,"Mississauga, ON",QB
805,0,0,0,Ryan,Bomben,Hamilton Tigercats,6.04,305,31913,"Burlington, ON",DB
851,1,6,0,Odell,Willis,Edmonton Eskimos,6.02,255,31044,"Meridian, MS",DL
873,0,0,0,Curtis,Dublanko,NULL,6,220,32185,"Thorsby, AB",WR
875,0,0,0,Brian,Ramsay,Edmonton Eskimos,6.08,312,29275,"Victoria, BC",OG
881,0,0,0,Tim,O'Neill,Hamilton Tigercats,6.03,305,29145,"Victoria, BC",OG
923,0,0,0,Chris,Wilson,NULL,6.04,240,30142,"Flint, Michigan",DB
931,0,0,0,Ryan,Phillips,BC Lions,5.1,195,30270,"Seattle, WA",LB
991,0,0,0,Wayne,Smith,Toronto Argonauts,6.02,302,29176,"Etobicoke, ON",OG
1057,0,0,0,Jamall,Johnson,Calgary Stampeders,6.01,222,30236,"Norco, LA",OG
1133,0,0,0,Dominic,Picard,Winnipeg Blue Bombers,6.02,302,30124,"Sainte-Foy, QC",OG
1167,0,0,0,Dan,Federkeil,Calgary Stampeders,6.07,306,30629,"Medicine Hat, AB",OG
1193,0,0,0,Greg,Peach,Winnipeg Blue Bombers,6.03,250,31735,"Vancouver, WA",RB
1197,1,6,0,Rod,Williams,Montreal Alouettes,5.11,180,31924,"Monroe, LA",QB
1215,0,0,0,JC,Sherritt,Edmonton Eskimos,5.09,218,32265,"Truckee, CA",QB
1223,0,0,0,Anthony,Woodson,Hamilton Tigercats,6,215,32149,"Calgary, AB",OLB
1239,0,0,0,Mike,Miller,Edmonton Eskimos,6,210,32582,"Riverview, NB",OG
1241,0,0,0,Peter,Dyakowski,Hamilton Tigercats,6.05,325,30791,"Vancouver, BC",K
1247,0,0,0,Jeff,Perrett,Montreal Alouettes,6.07,320,30764,"Taber, AB",QB
1249,1,6,0,Zack,Evans,Ottawa Redblacks,6.04,295,33051,"Regina, SK",DL
1253,0,0,0,Eric,Deslauriers,Montreal Alouettes,6.04,206,29666,"Gatineau, QC",OLB
1255,25,154,6,Jon,Cornish,Calgary Stampeders,6,219,30991,"New Westminster, BC",WR
1265,0,137,1,Luca,Congi,NULL,5.1,190,30482,"Waterloo, ON",OG
1347,0,0,0,Jordan,Matechuk,Calgary Stampeders,5.1,254,31312,"Yorkton, SK",S
1353,0,0,0,James,Patrick,NULL,5.11,188,30106,"Tuskegee, AL",DB
1389,0,0,0,Dean,Valli,BC Lions,6.05,300,30594,"North Vancouver, BC",DB
1391,0,0,0,Jason,Pottinger,Calgary Stampeders,6.02,238,30496,"Whitby, ON",OG
1401,0,0,0,Terrence,Edwards,11,6.01,185,28965,"Tennville, GA",DL
1501,0,0,0,J.R.,LaRose,Calgary Stampeders,6,210,30739,"Edmonton, AB",OG
1543,2,12,10,Darian,Durant,Saskatchewan Roughriders,5.11,214,30182,"Florence, SC",OG
1551,0,0,0,Dahrran,Diedrick,NULL,6,222,28866,"St. Anne's, Jamaica",OG
1567,2,12,0,Chip,Cox,Montreal Alouettes,5.09,185,30491,"Columbus, OH",DT
1593,0,0,0,Seth,Williams,Calgary Stampeders,5.11,185,31709,"Fayetteville, NC",QB
1595,11,66,6,Adarius,Bowman,Edmonton Eskimos,6.03,217,31238,"Chattanooga, TN",QB
1611,0,0,0,Cody,Husband,NULL,6.07,307,32221,"New Westminster, BC",S
1703,0,0,0,Diamond,Ferri,Calgary Stampeders,5.1,204,29804,"Stoneham, MA",OG
1715,0,0,0,John,Bowman,Montreal Alouettes,6.03,250,30151,"Brooklyn, NY",C
1739,0,0,0,Nathan,Kanya,Saskatchewan Roughriders,6.02,234,32066,Congo,DL
1745,2,12,1,Jade,Etienne,NULL,6.04,188,32822,"Calgary, AB",OLB
1747,0,0,0,Anton,McKenzie,Calgary Stampeders,5.1,235,29590,"Medford, NY",WR
